World,Location,Action,AP Location Name,AP Location ID,Item
Wonderland,Bizarre Room,Defeat Trickmaster,Wonderland Defeat Trickmaster Blizzard Event,2656041,Blizzard
Wonderland,Bizarre Room,Defeat Trickmaster,Wonderland Bizarre Room Navi-G Piece Event,2656385,Navi-G Piece 2
Wonderland,Bizarre Room,Flower Pot,Wonderland Bizarre Room Examine Flower Pot,2656613,
Wonderland,Bizarre Room,Chest,Wonderland Bizarre Room Green Trinity Chest,2650971,Mythril Shard
Wonderland,Bizarre Room,Chest,Wonderland Bizarre Room Lamp Chest,2651091,Defense Up
Wonderland,Bizarre Room,Defeat Trickmaster,Wonderland Defeat Trickmaster Ifrit's Horn Event,2656042,Ifrit's Horn
Wonderland,Bizarre Room,Chest,Wonderland Bizarre Room Green Trinity Chest,2650971,Mythril Shard
Wonderland,Lotus Forest,Blue Trinity in Alcove,Wonderland Lotus Forest Blue Trinity in Alcove,2656603,
Wonderland,Lotus Forest,Blue Trinity by Moving Boulder,Wonderland Lotus Forest Blue Trinity by Moving Boulder,2656604,
Wonderland,Lotus Forest,Both Yellow Flowers in Middle Clearing and Through Painting,Wonderland Yellow Flowers in Middle Clearing and Through Painting,2656615,
Wonderland,Lotus Forest,Both Red Flowers on the Main Path,Wonderland Lotus Forest Red Flowers on the Main Path,2656614,
Wonderland,Lotus Forest,Red Flower Raise Lily Pads,Wonderland Lotus Forest Red Flower Raise Lily Pad,2656617,
Wonderland,Lotus Forest,Yellow Flower through Painting (Elixir),Wonderland Lotus Forest Yellow Elixir Flower Through Painting,2656616,
Wonderland,Lotus Forest,Chest,Wonderland Lotus Forest Thunder Plant Chest,2651014,Gummi
Wonderland,Lotus Forest,Chest,Wonderland Lotus Forest Through the Painting Thunder Plant Chest,2651051,Puppies
Wonderland,Lotus Forest,Chest,Wonderland Lotus Forest Glide Chest,2651052,Orichalcum
Wonderland,Lotus Forest,Chest,Wonderland Lotus Forest Nut Chest,2651053,Puppies
Wonderland,Lotus Forest,Chest,Wonderland Lotus Forest Corner Chest,2651054,Gummi
Wonderland,Lotus Forest,Chest,Wonderland Lotus Forest Through the Painting White Trinity Chest,2651133,Lady Luck
Wonderland,Lotus Forest,Chest,Wonderland Lotus Forest Glide Chest,2651052,Orichalcum
Wonderland,Lotus Forest,Chest,Wonderland Lotus Forest Through the Painting White Trinity Chest,2651133,Lady Luck
Wonderland,Queen's Castle,Chest,Wonderland Queen's Castle Hedge Left Red Chest,2651011,Gummi
Wonderland,Queen's Castle,Chest,Wonderland Queen's Castle Hedge Right Blue Chest,2651012,Puppies
Wonderland,Queen's Castle,Chest,Wonderland Queen's Castle Hedge Right Red Chest,2651013,Gummi
Wonderland,Rabbit Hole,Chest,Wonderland Rabbit Hole Green Trinity Chest,2650931,Elixir
Wonderland,Rabbit Hole,Chest,Wonderland Rabbit Hole Defeat Heartless 1 Chest,2650932,Camping Set
Wonderland,Rabbit Hole,Chest,Wonderland Rabbit Hole Defeat Heartless 2 Chest,2650933,Mega-Potion
Wonderland,Rabbit Hole,Chest,Wonderland Rabbit Hole Defeat Heartless 3 Chest,2650934,Megalixir
Wonderland,Rabbit Hole,Chest,Wonderland Rabbit Hole Defeat Heartless 1 Chest,2650932,Camping Set
Wonderland,Rabbit Hole,Chest,Wonderland Rabbit Hole Defeat Heartless 2 Chest,2650933,Mega-Potion
Wonderland,Rabbit Hole,Chest,Wonderland Rabbit Hole Defeat Heartless 3 Chest,2650934,Megalixir
Wonderland,Rabbit Hole,Chest,Wonderland Rabbit Hole Green Trinity Chest,2650931,Elixir
Wonderland,Tea Party Garden,Left Cushioned Chair,Wonderland Tea Party Garden Left Cushioned Chair,2656618,
Wonderland,Tea Party Garden,Left Pink Chair,Wonderland Tea Party Garden Left Pink Chair,2656619,
Wonderland,Tea Party Garden,Right Yellow Chair,Wonderland Tea Party Garden Right Yellow Chair,2656620,
Wonderland,Tea Party Garden,Left Gray Chair,Wonderland Tea Party Garden Left Gray Chair,2656621,
Wonderland,Tea Party Garden,Right Brown Chair,Wonderland Tea Party Garden Right Brown Chair,2656622,
Wonderland,Tea Party Garden,Chest,Wonderland Tea Party Garden Above Lotus Forest Entrance 2nd Chest,2651093,Gummi
Wonderland,Tea Party Garden,Chest,Wonderland Tea Party Garden Above Lotus Forest Entrance 1st Chest,2651094,Puppies
Wonderland,Tea Party Garden,Chest,Wonderland Tea Party Garden Bear and Clock Puzzle Chest,2651131,Dark Matter
Wonderland,Tea Party Garden,Chest,Wonderland Tea Party Garden Across From Bizarre Room Entrance Chest,2651132,Mythril
Wonderland,Tea Party Garden,Chest,Wonderland Tea Party Garden Across From Bizarre Room Entrance Chest,2651132,Mythril
Wonderland,Tea Party Garden,Chest,Wonderland Tea Party Garden Bear and Clock Puzzle Chest,2651131,Dark Matter
